id_pair,tfidf_simil,genre_simil,age_simil,length_simil,collab_simil
"(0, 80)",0.0046539306640625,1.5166015625,2.0,2.0,1.040985107421875
"(0, 81)",0.002765655517578125,1.5537109375,1.3333333333333335,2.0,1.016998291015625
"(0, 82)",0.00971221923828125,1.400390625,0.6666666666666667,1.0,0.983001708984375
"(0, 83)",0.016510009765625,1.849609375,2.0,2.0,1.0
"(0, 84)",0.007228851318359375,1.318359375,2.0,2.0,1.1199951171875
"(0, 85)",0.01108551025390625,1.5166015625,0.6666666666666667,1.0,0.9889984130859375
"(0, 86)",0.012542724609375,1.818359375,2.0,1.0,1.06201171875
"(0, 87)",0.0102081298828125,1.5166015625,2.0,2.0,1.10198974609375
"(0, 88)",0.0072174072265625,1.7255859375,1.3333333333333335,2.0,0.977996826171875
"(0, 89)",0.003681182861328125,1.7763671875,2.0,2.0,1.058990478515625
"(0, 90)",0.020263671875,1.724609375,2.0,2.0,1.032989501953125
"(0, 91)",0.010772705078125,1.818359375,1.3333333333333335,2.0,1.11102294921875
"(0, 92)",0.007137298583984375,1.5166015625,2.0,2.0,1.0789794921875
"(0, 93)",0.00689697265625,1.7919921875,2.0,2.0,1.040008544921875
"(0, 94)",0.01311492919921875,1.5166015625,2.0,2.0,1.1190185546875
"(0, 95)",0.005863189697265625,1.3740234375,1.3333333333333335,2.0,0.949005126953125
"(0, 96)",0.00597381591796875,1.537109375,2.0,1.0,1.06201171875
"(0, 97)",0.00922393798828125,1.5166015625,2.0,2.0,1.09002685546875
"(0, 98)",0.00577545166015625,0.0,0.0,2.0,0.946990966796875
"(0, 99)",0.0132904052734375,1.83984375,1.3333333333333335,1.0,0.9739990234375
"(1, 0)",0.009124755859375,1.5537109375,2.0,2.0,1.39306640625
"(1, 1)",2.0,2.0,2.0,2.0,2.0
"(1, 2)",0.01152801513671875,1.548828125,2.0,2.0,1.261962890625
"(1, 3)",0.00992584228515625,1.8837890625,1.3333333333333335,2.0,1.1629638671875
"(1, 4)",0.01165008544921875,1.8837890625,0.6666666666666667,1.0,1.1650390625
"(1, 5)",0.009918212890625,1.33203125,2.0,2.0,1.2049560546875
"(1, 6)",0.0160675048828125,2.0,1.3333333333333335,2.0,1.199951171875
"(1, 7)",0.0180511474609375,1.6943359375,1.3333333333333335,2.0,1.073974609375
"(1, 8)",0.007472991943359375,1.685546875,2.0,1.0,1.135986328125
"(1, 9)",0.006389617919921875,1.4765625,0.6666666666666667,2.0,1.1429443359375
"(1, 10)",0.00829315185546875,1.6416015625,2.0,2.0,1.0570068359375
